0 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,XXXXXXXXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXX----XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXX------XXXXXXXXXXXXXX------XXXXXXXXXXXXXX------XXXXXXXXXXXXXX-----XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXX----XXXXXXXXXXXXXXXX----XXXXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXX,4,14.886,
1 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,X-----XXXXXXXXXXXXXXX------------XXXXXXXX------------XXXXXXX-------------XX----X------XX-----------X----XXXX-----------X----XXXXX----------X----XXXXX----------X---XXXXXXX--------XX-XXXXXXXXX-------XXX-XXXXXXXXX-------XXXXXXXXXXXXXX------XXXXXXXXXXXXXX-----XXXXXXXXXXXXXXX-----XXXXXXXX---XXXXX----XXXXXXXX----XXXX----XXXXXX-------------XXXXXX--------------XXXXXX--------------XXXXXX----XXXXXXXXXXXXXXX,4,14.205,
2 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,X---XXXXXXXXXXXXXXXX----------------XXXX-----------------XXX-----------------XXX--XXX----XXXX----XXX--XXX----XXXX-----XX--XXXX-----XX------X-XXXXX-----XXX-----X-XXXXX-----XXX-----X-XXXXXX----XXX-----XXXXXXXX----XXXX----XXXXXX-----XXXXX---XXXXXX------XXXXXXXXXXXX--------XXXXXXXXXXX-------XXXXXXXXXXXXX-------XXXXXXXXXXXXX-------XXXXXXXXXXXXX------XXXXXXXXXXXXXX----XXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXX,4,22.784,
3 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,XXXXXXXXXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXX-XX---XXXXXXXXXXXXXX-XX---XXXXXXXXXXXXXX-XX---XXXXXXXXXXXXXX-XX---XXXXXXXXXXXXXX-XX---XXXX---XXXXXXX------XXX----XXXXXXX------XX-----XXXXXXX-------------XXXXXXXXX----------------XXXX----------------XXXX-----------------XXXXXX--------------XXXXXX---XX---------XXXXXX---XX---------XXXXXX---XX---------XXXXXXXXXXXXXXXX---XX,4,9.672,
4 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,XXXXXX---XXXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXXX----XXXXXXXXXXXXXXX-----XXXXXXXXXXXX--------XXXXXXXXXXX---------XXXXXXXXXXX---------XXXXXXXXXXX---------XXXXXXXXXXX---------XXXXX---XXX-----------------XX------------------XX----XX------------XX----XX------------XXX---XX------------XXX---XXXXXXX-------XXXXXXXXXXXXX--------XXXXXXXXXXXX--------XXXXXXXXXXXXXXXX----XXXXXXXXXXXXXXXX---XX,4,18.485,
5 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX--------XXXXXXXXXXXX--------XXXXXXXXXXXX---------XXXXXXXXXX----XX----XXXXXXXXXX----XX----XXXXXXXXXX----XX---XXXXXXXXX-----XXX---XXXXXXXXX-----XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXXX---XXXXXXXXXXXXXXXX,4,16.397,
6 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,XXXXX----XXXXXXXXXXX---XX--------------X-------------------X-------------------X--------XXX--------XX-------XXX--------XX----XXXXXX------XXXX----XXXXXXX-----XXXXX----XXXXXX---XXXXXXX-----XXXXX---XXXXXXX--------XXXXXXXXXXXXX-------XXXXXXXXXXXXXX--------------XXXXXX---------------XXXXX---------------XXXXXX----XXXXX-----XXXXXX---XXXXXX-----XXXXXXXXXXXXXXXX----XXXXXXXXXXXXXXXX----XXXXXX-------------XX,4,12.22,
7 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,XXXXX---------XXXXXXXXXXX---------XXXXXX--------------XXXXXX--------------XXXXXX---------XX---XXXXXX-XX------XX---XXXXXX-XXXXX--------XXXXXX-XXXXX----------XXXXXXXXXX------------XXXXXXXXXXX----------XXXXXXXXXXXXXX------XXXXXXXXXXXXXX------XXXXXXXX---XXXX-----XXXXXXXX---XXXXX----XXXXXXXX---XXXXX----XXX--------XXXX----XXXX--------XX------XXXX----------------XXXX---------------XXXXX--------------XXXX,4,9.961,
8 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,XXXXXXX-----XXXXXXXX---XX-------XX---XXX------------XX---XXX-------------------X-------------------X-------------------X-----XXXXX---------X-XXXXXXXXX---------X-XXXXXXXXXXXXX----XX-XXXXXXXXXXXXX----XXXXXXXXX----------XXXXXX--------------XXXXX---------------XXXX-----------XXXXXXXXX-----------XXXXXXXXX-----XXX---XXXXXXXXXX----XXXXXXXXXXXXXXXX----XXXXXXXXXXXXXXXX-----XX---XXXXXXXXXXX------------XXXXX,4,9.169,
9 0,20,20,0,0,0,0,0,0,0,0,none,none,,,,,SATISFIABLE,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX--XXXXXXXXXXXXXXXXXX----XXXXXXXXXXXXXXXX------XXXXXXXXXXXXXX------XXXXXXXX---XXX------XXXXXXXX---XXX-------XXXXXXX---XXXX----------XXX---XXXXX---------XXX---XXXXX---------XXX-----XXXX---------XX-----XXXXX---------------XXXXXXXXX-----------XXXXXXXXX-----------XXXXXXXXX----XXX----XXXXXXXXXX---XXX----XXXXXXXXXX---------XX,4,14.184,
