1 0,20,20,0,0,10,10,0,0,5,5,enemy,none,none,,,,,SATISFIABLE,XXX---------------XX-------------------X-------------------X-------------------XP-------XXXX------MXXX------XXXX-K----XXXX-----XXXXXXXX-----XX-----XXXXXXXX-----XXXX---XXX---XX-----XXXX---XXX---XXX---PXXXXXXXXX----XXXXXXXXXXXXXXXX-----XXXXXXXXXXXXX-------XXXXXXXXXXXX--------XXXXXXXXXXXX----------XXXXXXXXX-----------XXXXXXX----------------XXX-----------------XXX-----------------XX------------------X,4,15.12,
0 1,20,20,3,3,18,18,0,0,0,0,none,enemy,right,,,,,SATISFIABLE,XXRRRRRRRRRRRRRRRRRXXX-----------------RXXPXX--------------RXXXXX--------------RXXXXX---XX---------RXXXXX---XX---XX----RXXXXX---XX---XX----RXXXXXMXXXX-E-XX----RXXXXXXXXXXXXXXXX---RXXXXX---XXXXXXXX---RX-------------XX---RX-------------XXXX-RX-------------XXXX-RX--------------XXX-RX--------------XXXXRX--------------XXXXRX--------------XXXXRX--------------XXXXPX----------------XXXX----------------XXX,4,36.444,
2 3,20,20,0,0,12,12,0,0,14,14,none,enemy,left,,,,,SATISFIABLE,X--------------XXXXXR------------------RR------------------RR------------------RR------------------RR------------------RR------------------RR------------------RR------------------RR------------------RR------------------RR-------E----------PR------XX-----XX---XP------XX-----XX---XX------XX-----XX---XX-----XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXXXX---XX-------XXXXXXXXXXMXX-----------XXXXXXXXX-----------X,4,9.886,
0 0,20,20,0,0,5,5,2,2,0,0,none,none,none,,XXXXXX---XXXXXXXXXXX,X----------------XXX,,SATISFIABLE,XXXXXXXXXXXXXXXX---XXXXXXXXX---XXXXX----XXXXXXXX------------X----XXX------------X----XXX-----------PX-----XX--------XXXXX------------XXXXXXXX------------XXXXXXXXM---------XXXXXXXXXXX---------XXXXXXXXXXXX--------XXXXXXXXXXXXX------XXXXXXXXXXXXXX----XXXXXXXXXXXXXX------XXXXXXX---XXXX-----XXXXXXXX----XX------XXXXXXXX----XX-----XXXXXXX------XX----XXXXX---------XX----XXXX----------XXP-----------------X,4,10.761,
2 0,20,20,0,0,0,0,0,0,0,0,none,none,none,,,,X---XXXXXXXXXXXXXXXX,SATISFIABLE,XXXXXXXXXX---------XXXXXXXXX------------XXXXXXXX------------XXXXXXXX------------XXXXXXXXXXX---------XXX---XXXXX----XX---------XXXX-----XX-----------------XXXXXX--------------XXXXXXX-------------XX---XX---XX------XXXX---XXXXXXXXX----XXXX---XXXXXXXXX-----------XXXXXXXXX-----------XXXXXXXXXX----------XXXXXXXXXX----XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX---XXXXXXXXX----XXXX---XX---XX------XXXX----------------X,4,6.285,
3 0,20,20,0,0,0,0,0,0,0,0,none,none,none,,,,XXXXXX---XXXXXXXXXXX,UNSATISFIABLE,,4,0,
3 0,20,20,0,0,0,0,0,0,0,0,none,none,none,,,,XXXXXX---XXXXXXXXXXX,TIMEDOUT,,4,45,
3 0,20,20,0,0,0,0,5,5,19,0,none,none,none,,,,,SATISFIABLE,XXXXXXXXXXXX---XXXXXXXXX---XX-------XXXXXXX-------------XXXXX---------------XXXXX---------------XXXXX----------SX------XXX---------XX------XXXXXX-----XXX------XXXXXX---XXXXXX-----XXXXXX---XXXXXX----XXXXXXXXXXXX--------XXXXXXXXXXXX-------XXXXXXXX------------XXXXXXX---------XXXXXXX--XX---------XXXXXXX---------XXXXXXXXXXX-------XXXXXXXXXXXXX-------XXXXXXXXXXXXXP-----XXXXXXXXXXXXXXX---PXXXXXXXXXXXXXXX,4,108.817,
2 0,20,20,0,0,0,0,0,0,0,0,none,none,none,,XXXXXXXXXXXXXXXXXXXX,,X---XXXXXXXXXXXXXXXX,SATISFIABLE,X------------------XX------------------XX------------------XX------------------XX----XXXXX--------XXX----XXXXX--------XX----XXXXXX-------XXX----XXXXXXX-----XXXX----XXXXXXX----XXXXXXXXXXX---------XXXXXXXXXXX--------XXXXXXX-------------XXXXXXX--------XXXXXXX---XX--------XXXXXXX---XX---XX--------------X---XX--------------XXXXXX--------------XXXXXXXXXXXXXXXXXXX-XXXXXXXXXXXXXXXXXXXXXXXXXX-----XXXXXXXXX,4,14.656,
1 1,20,20,0,0,11,11,0,0,18,18,none,none,none,XXX---------------XX,,,XXXXXXXXXXXXXXXXXXXX,SATISFIABLE,X------------------X-------------------------------------------------------------XX------XX----------XX-----XXXX---------XXM----XXXXXX-------XXX------XXXX---XX--XXX--------XX---XX--XXXX-------XXXXXXX--XXXXX------XXXXXXXP-XXXXXXX----XXXXXXXX-XXXXXXX----XXXXXXXX-----------XXXXXXXXX-----------XXXXXXXXX-----------XXXXXXXXX-----XXXXXXXXXXX---XP---XXXXXXXXX------XXXXXXXXXXXXXX------XXXXXXXX------------X,4,15.001,
2 1,20,20,0,0,0,0,16,16,11,11,none,none,none,X------------------X,,,X----------------XXX,SATISFIABLE,XXXXXX-----XXXXXXXXX--------------XXXXXX--------------XXXXXX---------------XXXXX-----XX-----------XX----XXXX-----------X----XXXXXX---------X----XXXXXX---------X---XXXXXXXXX-------X---XXXXXXXXX-------XPXXXX----------XXXMXXXXXX----------XXXXXX--------------XXXXXX---------XXXXXXXXXXX---------XXXXXXXXXXXX---XX----------XXXXX---XX------------XXX---XX------------XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXXXP---X,4,15.192,
3 1,20,20,0,0,0,0,0,0,0,0,none,none,none,XXXXXXXXXXXX---XXXXX,,,X---------XXXXXXXXXX,UNSATISFIABLE,,4,0,
3 1,20,20,0,0,0,0,0,0,0,0,none,none,none,XXXXXXXXXXXX---XXXXX,,,,UNSATISFIABLE,,4,0,
3 1,20,20,18,18,0,0,18,18,0,0,none,none,none,,,,X---------XXXXXXXXXX,SATISFIABLE,XXXXXXXXXXXXX-----XXXXXXXXXXXXXX------XXXXXXXXXXXXXX----XPXXXXXXXXXXXXX-----XXXXXXX------------XXXXXXXX------------XXXXXXXX-----------XXXXXXXX----XX-----XXXXXXXXX----XXXX---XXXXXXXX-----XXXX---XXXXXXXX----XXXXXXXXXXXXXXXX----XXXXXXXXXXXXXXXXX------XXXX---XXXXXXX-------------XXXXXXX-------------XXXXXXXXX------------XXXXXXXX---XXXXX------XXXXXXXXXXXXXX------XXXXXXXXXXXXXX------XXXXXXXXXXXXXXM----PXX,4,9.583,
3 0,20,20,0,0,0,0,0,0,0,0,none,none,none,,,XXXXXXXXXXXXX----XXX,XXXXXX---XXXXXXXXXXX,UNSATISFIABLE,,4,0,
3 0,20,20,0,0,0,0,19,19,19,0,none,none,none,,,XXXXXXXXXXXXX----XXX,,SATISFIABLE,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX-XXXXXXX--------XXXX-----------------XXX-----------------XXX-----------SX----XXX---XXX----XXX----XXX---XXX----XXXX----XX--XXXX-----XXX----XX--XXXXX----XXX-----X--XXXXX----XXXX----XPXXXXXXXXXXXXXX----XXXXXXXXXXXXXX-----PX,4,18.971,
2 0,20,20,0,0,0,19,0,0,10,10,none,none,none,,XXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXX---X,X---XXXXXXXXXXXXXXXX,SATISFIABLE,XXX-------------XXXXXX--------------XXXXX------------------XX------------------XX------XM----------XX------XX--------XXX------XXX---XX---XXX------XXXXXXXX---XXX-----XXXXXXXXXXXXXXXP----XXXX---XXXXXXX-X-------------------X-------------------XX------------------XX---XXX--------XX--XXXXXXXXXXXX----XX--XXXXXXXXXXXXX---XX--XXXXXXX---XXX---XXX-XXXXXX-----XX---XXX-XXXXXX-----XXXXXXXXPXXXXXX-----XXXXXXXXX,4,17.011,
0 2,20,20,0,0,5,5,4,4,0,0,none,none,none,XXRRRRRRRRRRRRRRRRRX,,,,SATISFIABLE,X----------------XXXX-------------------X-------------------X-------------------X-----------------XPX---------XXM-----XXX---------XXX-----XXX------XXXXX-----XXXX------XXXXX----XXXXXXXXXXXXX-------XXXXXXXXXXXXX-------XXXXX--------------XXXXXX-----------XXXXXXXXX-----------XXXXXXXXXX----XXX---XXXXXXXXXX----XXXXXXXXXXXXXXXXX----XXXXXXX-----XXXX----XX---XX-----XXXX---------XX-----XXXXP---------------X,4,32.377,
1 2,20,20,0,0,0,0,0,0,0,0,none,none,none,X------------------X,,,XXXXXXXXXXXXXXXXXXXX,UNSATISFIABLE,,4,0,
1 2,20,20,0,0,0,0,0,0,0,0,none,none,none,,,,XXXXXXXXXXXXXXXXXXXX,UNSATISFIABLE,,4,0,
1 2,20,20,0,0,0,0,2,2,16,16,none,none,none,X------------------X,,,,SATISFIABLE,XXXXXXX------------XXXXXXX-------------X---XXX-------------X---XX--------------X---XX---------XX---X-------------XXX---X-------------XXXB--X-------------XXXXMXX------------XXXXXXXX----------XXXXXXXXXX----------XXXXXXXXXX----------XXXXXXXXXX---------XXXXXXXXXXX---------XXXXXXXXXXX--------XXXXXXXXXXXXP------XXXXXXXXXXXXXX-----XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXXP---XXXXXXXXXXXXXXX,4,20.674,
0 2,20,20,0,0,16,16,2,2,0,0,none,none,none,XXRRRRRRRRRRRRRRRRRX,XXXXXXXXXXXXXXXXXXXX,,,SATISFIABLE,X----------------XXXX----------------XXXX----------------XX-X----------------XX-X-------------------X-------------------X-------------------X-------XX----------X---XXXXXX----------XXXMXXXXXXX-----XX--XXXXXXXXXXX-----XX--XXXX-----------XXX--X--------------XXXX-X-------------XXXXX-X--------XXXXXXXXXX-X-----XXXXXXXXXXXXXPX-----XXXXXXXXXXXXXXX-----XXXXXXXXXXXXXXX----XXXXXXXXXXXXXXXXP---XXXXXXXXXXXXXXX,4,39.28,
2 2,20,20,0,0,0,0,0,0,0,0,none,none,none,XXXXXX-----XXXXXXXXX,,XXXXXXXX-----------X,XX-------------XXXXX,UNSATISFIABLE,,4,0,
2 2,20,20,0,0,0,0,0,0,0,0,none,none,none,XXXXXX-----XXXXXXXXX,,XXXXXXXX-----------X,,UNSATISFIABLE,,4,0,
2 2,20,20,0,0,0,0,0,0,0,0,none,none,none,XXXXXX-----XXXXXXXXX,,,XX-------------XXXXX,UNSATISFIABLE,,4,0,
